Node	ModuleColor	GeneSymbol	GeneName
653635	grey	WASH7P	WASP family homolog 7, pseudogene
729737	grey	LOC729737	uncharacterized LOC729737
102723897	grey	LOC102723897	WAS protein family homolog 9, pseudogene
643837	blue	LINC01128	long intergenic non-protein coding RNA 1128
26155	yellow	NOC2L	NOC2 like nucleolar associated transcriptional repressor
339451	grey	KLHL17	kelch like family member 17
84069	grey	PLEKHN1	pleckstrin homology domain containing N1
9636	grey	ISG15	ISG15 ubiquitin like modifier
375790	turquoise	AGRN	agrin
105378948	brown	LOC105378948	uncharacterized LOC105378948
54991	turquoise	C1orf159	chromosome 1 open reading frame 159
8784	blue	TNFRSF18	TNF receptor superfamily member 18
51150	blue	SDF4	stromal cell derived factor 4
126792	grey	B3GALT6	beta-1,3-galactosyltransferase 6
118424	blue	UBE2J2	ubiquitin conjugating enzyme E2 J2
6339	grey	SCNN1D	sodium channel epithelial 1 subunit delta
116983	turquoise	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
126789	grey	PUSL1	pseudouridine synthase like 1
54973	grey	INTS11	integrator complex subunit 11
80772	turquoise	CPTP	ceramide-1-phosphate transfer protein
83756	grey	TAS1R3	taste 1 receptor member 3
1855	blue	DVL1	dishevelled segment polarity protein 1
54587	grey	MXRA8	matrix remodeling associated 8
54998	grey	AURKAIP1	aurora kinase A interacting protein 1
81669	turquoise	CCNL2	cyclin L2
148413	brown	MRPL20-AS1	MRPL20 antisense RNA 1
55052	grey	MRPL20	mitochondrial ribosomal protein L20
83858	green	ATAD3B	ATPase family AAA domain containing 3B
55210	yellow	ATAD3A	ATPase family AAA domain containing 3A
29101	turquoise	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
643988	red	FNDC10	fibronectin type III domain containing 10
142678	grey	MIB2	MIB E3 ubiquitin protein ligase 2
984	grey	CDK11B	cyclin dependent kinase 11B
728661	blue	SLC35E2B	solute carrier family 35 member E2B
728642	grey	CDK11A	cyclin dependent kinase 11A
9906	blue	SLC35E2A	solute carrier family 35 member E2A (pseudogene)
65220	brown	NADK	NAD kinase
2782	brown	GNB1	G protein subunit beta 1
199990	turquoise	FAAP20	FA core complex associated protein 20
6497	grey	SKI	SKI proto-oncogene
79906	grey	MORN1	MORN repeat containing 1
11079	grey	RER1	retention in endoplasmic reticulum sorting receptor 1
5192	grey	PEX10	peroxisomal biogenesis factor 10
1953	turquoise	MEGF6	multiple EGF like domains 6
127262	blue	TPRG1L	tumor protein p63 regulated 1 like
49856	brown	WRAP73	WD repeat containing, antisense to TP73
57212	turquoise	GFOD3P	Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene
57470	brown	LRRC47	leucine rich repeat containing 47
9731	grey	CEP104	centrosomal protein 104
1677	brown	DFFB	DNA fragmentation factor subunit beta
339448	grey	C1orf174	chromosome 1 open reading frame 174
261734	turquoise	NPHP4	nephrocystin 4
8514	turquoise	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
6146	grey	RPL22	ribosomal protein L22
23463	brown	ICMT	isoprenylcysteine carboxyl methyltransferase
387509	grey	GPR153	G protein-coupled receptor 153
11332	black	ACOT7	acyl-CoA thioesterase 7
79707	turquoise	NOL9	nucleolar protein 9
3104	grey	ZBTB48	zinc finger and BTB domain containing 48
9903	grey	KLHL21	kelch like family member 21
148479	brown	PHF13	PHD finger protein 13
90326	grey	THAP3	THAP domain containing 3
55735	turquoise	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
23261	blue	CAMTA1	calmodulin binding transcription activator 1
9341	magenta	VAMP3	vesicle associated membrane protein 3
8863	turquoise	PER3	period circadian regulator 3
10911	purple	UTS2	urotensin 2
3604	blue	TNFRSF9	TNF receptor superfamily member 9
11315	yellow	PARK7	Parkinsonism associated deglycase
54206	grey	ERRFI1	ERBB receptor feedback inhibitor 1
473	blue	RERE	arginine-glutamic acid dipeptide repeats
2023	yellow	ENO1	enolase 1
6518	turquoise	SLC2A5	solute carrier family 2 member 5
80045	turquoise	GPR157	G protein-coupled receptor 157
9563	grey	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
80176	brown	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1
84275	blue	SLC25A33	solute carrier family 25 member 33
199953	brown	TMEM201	transmembrane protein 201
5293	blue	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
22883	grey	CLSTN1	calsyntenin 1
56998	turquoise	CTNNBIP1	catenin beta interacting protein 1
84328	grey	LZIC	leucine zipper and CTNNBIP1 domain containing
64802	brown	NMNAT1	nicotinamide nucleotide adenylyltransferase 1
116362	turquoise	RBP7	retinol binding protein 7
10277	blue	UBE4B	ubiquitination factor E4B
23095	blue	KIF1B	kinesin family member 1B
5226	turquoise	PGD	phosphogluconate dehydrogenase
1676	grey	DFFA	DNA fragmentation factor subunit alpha
5195	brown	PEX14	peroxisomal biogenesis factor 14
54897	red	CASZ1	castor zinc finger 1
148345	turquoise	C1orf127	chromosome 1 open reading frame 127
23435	yellow	TARDBP	TAR DNA binding protein
